snap_index;snap_ts;price;bias;stage;result;reason;extra
725;2025-10-16T16:40:00Z;61.04;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=2.0, imp_atr=0.4655814315614974, imp_pct=0.2794214332675782
726;2025-10-16T16:45:00Z;61.01;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
726;2025-10-16T16:45:00Z;61.01;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=2.0, imp_atr=0.4655814315614974, imp_pct=0.2794214332675782
727;2025-10-16T16:50:00Z;61.01;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
727;2025-10-16T16:50:00Z;61.01;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=2.0, imp_atr=0.4655814315614974, imp_pct=0.2794214332675782
728;2025-10-16T16:55:00Z;61.02;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
728;2025-10-16T16:55:00Z;61.02;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=2.0, imp_atr=0.4655814315614974, imp_pct=0.2794214332675782
729;2025-10-16T19:00:00Z;60.98;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
729;2025-10-16T19:00:00Z;60.98;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=3.0, imp_atr=0.5231740269972159, imp_pct=0.29585798816568
730;2025-10-16T19:05:00Z;60.99;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
730;2025-10-16T19:05:00Z;60.99;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=3.0, imp_atr=0.5231740269972159, imp_pct=0.29585798816568
731;2025-10-16T19:10:00Z;60.92;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
731;2025-10-16T19:10:00Z;60.92;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=3.0, imp_atr=0.5231740269972159, imp_pct=0.29585798816568
732;2025-10-16T19:15:00Z;61.02;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
732;2025-10-16T19:15:00Z;61.02;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=3.0, imp_atr=0.5231740269972159, imp_pct=0.29585798816568
733;2025-10-16T19:20:00Z;60.98;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
733;2025-10-16T19:20:00Z;60.98;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=3.0, imp_atr=0.5231740269972159, imp_pct=0.29585798816568
734;2025-10-16T19:25:00Z;60.97;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
734;2025-10-16T19:25:00Z;60.97;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=3.0, imp_atr=0.5231740269972159, imp_pct=0.29585798816568
735;2025-10-16T19:30:00Z;60.96;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
735;2025-10-16T19:30:00Z;60.96;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=3.0, imp_atr=0.5231740269972159, imp_pct=0.29585798816568
736;2025-10-16T19:35:00Z;61.01;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
736;2025-10-16T19:35:00Z;61.01;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=3.0, imp_atr=0.5231740269972159, imp_pct=0.29585798816568
737;2025-10-16T19:40:00Z;61.03;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
737;2025-10-16T19:40:00Z;61.03;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=3.0, imp_atr=0.5231740269972159, imp_pct=0.29585798816568
738;2025-10-16T19:45:00Z;61.02;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
738;2025-10-16T19:45:00Z;61.02;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=3.0, imp_atr=0.5231740269972159, imp_pct=0.29585798816568
739;2025-10-16T19:50:00Z;61.02;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
739;2025-10-16T19:50:00Z;61.02;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=3.0, imp_atr=0.5231740269972159, imp_pct=0.29585798816568
740;2025-10-16T19:55:00Z;61.06;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
740;2025-10-16T19:55:00Z;61.06;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=3.0, imp_atr=0.5231740269972159, imp_pct=0.29585798816568
741;2025-10-16T20:00:00Z;60.99;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
741;2025-10-16T20:00:00Z;60.99;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=4.0, imp_atr=0.6648392077980855, imp_pct=0.361604207758052
742;2025-10-16T20:05:00Z;60.95;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
742;2025-10-16T20:05:00Z;60.95;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=4.0, imp_atr=0.6648392077980855, imp_pct=0.361604207758052
743;2025-10-16T20:10:00Z;60.96;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
743;2025-10-16T20:10:00Z;60.96;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=4.0, imp_atr=0.6648392077980855, imp_pct=0.361604207758052
744;2025-10-16T20:15:00Z;60.97;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
744;2025-10-16T20:15:00Z;60.97;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=4.0, imp_atr=0.6648392077980855, imp_pct=0.361604207758052
