pk,ts,open,high,low,close,volume
BZ=F#1d,2025-01-15T00:00:00Z,80.32,82.63,79.63,82.03,69122
BZ=F#1d,2025-01-14T00:00:00Z,80.91,81.14,79.86,79.92,67129
BZ=F#1d,2025-01-13T00:00:00Z,79.55,81.67,79.54,81.01,77109
BZ=F#1d,2025-01-10T00:00:00Z,77.21,80.76,77.04,79.76,92049
BZ=F#1d,2025-01-09T00:00:00Z,76.16,77.27,75.7,76.92,31706
BZ=F#1d,2025-01-08T00:00:00Z,77.24,77.89,76.03,76.16,46650
BZ=F#1d,2025-01-07T00:00:00Z,76.24,77.27,75.92,77.05,37188
BZ=F#1d,2025-01-06T00:00:00Z,76.59,77.5,75.94,76.3,49229
BZ=F#1d,2025-01-03T00:00:00Z,75.9,76.74,75.53,76.51,38822
BZ=F#1d,2025-01-02T00:00:00Z,74.88,76.54,74.73,75.93,41474
BZ=F#1d,2024-12-31T00:00:00Z,74.1,74.88,73.84,74.64,20588
BZ=F#1d,2024-12-30T00:00:00Z,74.23,75.04,73.76,74.39,30436
BZ=F#1d,2024-12-27T00:00:00Z,73.14,74.34,73.07,74.17,5515
BZ=F#1d,2024-12-26T00:00:00Z,73.78,74.18,72.98,73.26,5773
BZ=F#1d,2024-12-24T00:00:00Z,72.84,73.81,72.78,73.58,8922
BZ=F#1d,2024-12-23T00:00:00Z,72.83,73.37,71.98,72.63,20997
BZ=F#1d,2024-12-20T00:00:00Z,72.71,73.28,71.97,72.94,25362
BZ=F#1d,2024-12-19T00:00:00Z,72.93,73.87,72.53,72.88,27742
BZ=F#1d,2024-12-18T00:00:00Z,73.34,74.19,72.8,73.39,25873
BZ=F#1d,2024-12-17T00:00:00Z,73.86,74.18,72.46,73.19,26356
BZ=F#1d,2024-12-16T00:00:00Z,74.51,74.54,73.7,73.91,25458
BZ=F#1d,2024-12-13T00:00:00Z,73.43,74.59,73.27,74.49,26225
BZ=F#1d,2024-12-12T00:00:00Z,73.59,73.98,72.43,73.41,36231
BZ=F#1d,2024-12-11T00:00:00Z,72.03,73.74,72.02,73.52,35954
BZ=F#1d,2024-12-10T00:00:00Z,71.93,72.72,71.53,72.19,32220
BZ=F#1d,2024-12-09T00:00:00Z,71.04,72.65,70.96,72.14,25921
BZ=F#1d,2024-12-06T00:00:00Z,72.17,72.23,70.83,71.12,27572
BZ=F#1d,2024-12-05T00:00:00Z,72.45,72.9,71.8,72.09,32373
BZ=F#1d,2024-12-04T00:00:00Z,73.81,74.26,72.25,72.31,36988
BZ=F#1d,2024-12-03T00:00:00Z,71.86,73.9,71.69,73.62,40365
BZ=F#1d,2024-12-02T00:00:00Z,71.74,72.88,71.52,71.83,31283
BZ=F#1d,2024-11-29T00:00:00Z,72.92,73.5,72.12,72.94,45282
BZ=F#1d,2024-11-27T00:00:00Z,72.94,73.35,72.27,72.83,10246
BZ=F#1d,2024-11-26T00:00:00Z,73.12,74.33,72.12,72.81,17616
BZ=F#1d,2024-11-25T00:00:00Z,75.21,75.31,72.85,73.01,29335
BZ=F#1d,2024-11-22T00:00:00Z,74.29,75.42,73.51,75.17,29569
BZ=F#1d,2024-11-21T00:00:00Z,73.12,74.37,72.91,74.23,35756
BZ=F#1d,2024-11-20T00:00:00Z,73.34,73.94,72.7,72.81,26041
BZ=F#1d,2024-11-19T00:00:00Z,73.18,73.87,72.61,73.31,32668
BZ=F#1d,2024-11-18T00:00:00Z,70.88,73.46,70.7,73.3,30425
BZ=F#1d,2024-11-15T00:00:00Z,72.43,72.47,70.84,71.04,30126
BZ=F#1d,2024-11-14T00:00:00Z,71.99,73.22,71.8,72.56,32367
